# Physiological Plant Ecology  I, Springer, DOI: 10.1007/978-3-642-68090-8
Wavelength	Chlorophyll a	Chlorophyll b
529.5	0.02162	0.07022
529.6	0.02146	0.07037
529.8	0.02136	0.07062
530	0.02121	0.07092
530.2	0.02104	0.07124
530.4	0.02086	0.07158
530.6	0.02067	0.07196
530.8	0.02048	0.07234
531	0.02032	0.07271
531.2	0.02004	0.0731
531.3	0.01976	0.07346
531.5	0.01947	0.07379
531.7	0.01918	0.07398
531.9	0.0189	0.07426
532.1	0.01862	0.07455
532.3	0.01834	0.07485
532.5	0.01807	0.07516
532.7	0.01782	0.07539
532.8	0.0176	0.07563
533	0.01742	0.07583
533.2	0.01735	0.07603
533.4	0.0173	0.0762
533.6	0.01728	0.07633
533.8	0.0173	0.07652
534	0.01725	0.07681
534.2	0.01719	0.07712
534.4	0.01714	0.07742
534.5	0.01701	0.07765
534.7	0.01686	0.07793
534.9	0.01668	0.07822
535.1	0.01649	0.07854
535.3	0.01635	0.07885
535.5	0.01618	0.07916
535.7	0.01597	0.07945
535.9	0.01574	0.07962
536	0.01549	0.07978
536.2	0.01525	0.07993
536.4	0.015	0.0802
536.6	0.01475	0.08047
536.8	0.01451	0.08074
537	0.01426	0.081
537.2	0.01403	0.08113
537.4	0.01382	0.08137
537.6	0.01365	0.08165
537.7	0.01351	0.08198
537.9	0.01332	0.08232
538.1	0.01314	0.08268
538.3	0.01299	0.08302
538.5	0.01296	0.08325
538.7	0.01289	0.0835
538.9	0.0128	0.08375
539.1	0.01272	0.08398
539.2	0.0126	0.08432
539.4	0.01248	0.08468
539.6	0.01237	0.08502
539.8	0.01236	0.08535
540	0.01222	0.08565
540.2	0.01204	0.08591
540.4	0.01184	0.08609
540.6	0.01161	0.08637
540.8	0.01137	0.08663
540.9	0.01112	0.08687
541.1	0.0109	0.08708
541.3	0.01073	0.08726
541.5	0.01052	0.08738
541.7	0.01026	0.08737
541.9	0.00998	0.08746
542.1	0.00968	0.08756
542.3	0.00938	0.08768
542.4	0.00908	0.08779
542.6	0.0088	0.0879
542.8	0.0086	0.088
543	0.00842	0.088
543.2	0.00813	0.08815
543.4	0.00783	0.08833
543.6	0.00753	0.08855
543.8	0.00725	0.0888
544	0.00699	0.08907
544.1	0.00676	0.08934
544.3	0.00658	0.08962
544.5	0.00634	0.0899
544.7	0.00612	0.09016
544.9	0.00593	0.0904
545.1	0.00577	0.09065
545.3	0.00566	0.09088
545.5	0.0056	0.09108
545.6	0.0056	0.09124
545.8	0.00562	0.09136
546	0.00556	0.09143
546.2	0.0055	0.09144
546.4	0.00546	0.0915
546.6	0.00543	0.09156
546.8	0.00542	0.0916
547	0.00542	0.09162
547.2	0.0054	0.09161
547.3	0.00542	0.09157
547.5	0.00542	0.0915
547.7	0.00548	0.0915
547.9	0.00553	0.0915
548.1	0.00558	0.0915
548.3	0.00563	0.0915
548.5	0.00566	0.0915
548.7	0.0057	0.0915
548.8	0.00572	0.0915
549	0.00574	0.0915
549.2	0.00576	0.0915
549.4	0.00577	0.0915
549.6	0.00577	0.0915
549.8	0.00577	0.0915
550	0.00576	0.0915
550.2	0.00574	0.0915
550.4	0.00572	0.0915
550.5	0.0057	0.0915
550.7	0.00566	0.0915
550.9	0.00563	0.0915
551.1	0.00558	0.0915
551.3	0.00553	0.0915
551.5	0.00548	0.0915
551.7	0.00542	0.0915
551.9	0.00542	0.0915
552	0.00545	0.0915
552.2	0.0055	0.0915
552.4	0.0055	0.09157
552.6	0.0055	0.09161
552.8	0.0055	0.09162
553	0.0055	0.0916
553.2	0.0055	0.09156
553.4	0.0055	0.0915
553.6	0.0055	0.09141
553.7	0.0055	0.09132
553.9	0.0055	0.0912
554.1	0.0055	0.09108
554.3	0.0055	0.09095
554.5	0.0055	0.09082
554.7	0.0055	0.09068
554.9	0.0055	0.09055
555.1	0.0055	0.09044
555.2	0.0055	0.09033
555.4	0.0055	0.09023
555.6	0.0055	0.09012
555.8	0.0055	0.09002
556	0.0055	0.08994
556.2	0.0055	0.08987
556.4	0.00547	0.08982
556.6	0.00545	0.08979
556.8	0.00544	0.08979
556.9	0.00542	0.08982
557.1	0.00533	0.08977
557.3	0.00522	0.08973
557.5	0.00521	0.08968
557.7	0.00528	0.08971
557.9	0.00544	0.08971
558.1	0.00566	0.08968
558.3	0.00595	0.08963
558.4	0.00628	0.08956
558.6	0.00665	0.08948
558.8	0.00706	0.08938
559	0.00748	0.08927
559.2	0.00782	0.08917
559.4	0.00821	0.08906
559.6	0.00862	0.08895
559.8	0.00904	0.08882
560	0.00946	0.08868
560.1	0.00989	0.08855
560.3	0.01031	0.08842
560.5	0.0107	0.0883
560.7	0.01105	0.08818
560.9	0.01134	0.08809
561.1	0.01155	0.08803
561.3	0.01171	0.08798
